student_id,course_id,completion_status,quiz_score,time_spent,engagement_score,interaction_score,completion_encoded
STU00001,CRS00457,Not completed,67,275,0.3707080034580512,0.3421416006916102,0
STU00001,CRS00341,Completed,74,20,0.7864648898768248,0.853292977975365,1
STU00001,CRS00345,Completed,94,71,0.7393730190425334,0.9238746038085068,1
STU00001,CRS00376,Completed,70,195,0.5980468266099753,0.799609365321995,1
STU00001,CRS00487,Completed,87,253,0.005984241890966,0.7491968483781932,1
STU00001,CRS00450,Not completed,60,42,0.6979842339141605,0.3795968467828321,0
STU00001,CRS00399,Not completed,75,298,0.3602498401688986,0.3720499680337797,0
STU00001,CRS00435,Completed,72,18,0.0417862749548701,0.696357254990974,1
STU00001,CRS00444,Completed,65,250,0.2004268225223335,0.7000853645044668,1
STU00001,CRS00446,Not completed,88,48,0.5150333248668135,0.4550066649733627,0
STU00001,CRS00343,Not completed,66,159,0.6541155191547712,0.3948231038309542,0
STU00001,CRS00351,Not completed,83,80,0.4749221899856964,0.4269844379971393,0
STU00001,CRS00090,Completed,74,274,0.6805694101913937,0.8321138820382787,1
STU00001,CRS00209,Completed,100,194,0.8692714832420384,0.9738542966484076,1
STU00001,CRS00014,Not completed,97,269,0.5487862204858645,0.4977572440971729,0
STU00001,CRS00365,Completed,86,138,0.7723966120728682,0.8984793224145736,1
STU00001,CRS00499,Not completed,85,279,0.2406926345665407,0.3881385269133082,0
STU00001,CRS00059,Not completed,100,117,0.5171217872094714,0.5034243574418943,0
STU00001,CRS00287,Completed,91,43,0.954247765121189,0.9548495530242378,1
STU00001,CRS00403,Completed,83,132,0.221250457175459,0.7762500914350918,1
STU00002,CRS00062,Completed,60,118,0.950863705050805,0.830172741010161,1
STU00002,CRS00091,Completed,84,290,0.250921743897046,0.7861843487794092,1
STU00002,CRS00012,Completed,73,168,0.0194580923898641,0.6958916184779728,1
STU00002,CRS00021,Completed,69,267,0.2957500328207056,0.7351500065641411,1
STU00002,CRS00065,Not completed,77,286,0.5422910044075422,0.4164582008815085,0
STU00002,CRS00090,Not completed,64,79,0.4713606465687051,0.350272129313741,0
STU00002,CRS00077,Not completed,75,56,0.5972919622498563,0.4194583924499713,0
STU00002,CRS00034,Completed,77,179,0.0846524025017672,0.7249304805003535,1
STU00002,CRS00111,Not completed,99,280,0.187773639809058,0.4335547279618116,0
STU00002,CRS00008,Completed,88,93,0.9412910709285952,0.940258214185719,1
STU00002,CRS00126,Not completed,63,169,0.0178056128982035,0.2555611225796407,0
STU00002,CRS00044,Completed,66,156,0.0875830386016232,0.6815166077203246,1
STU00002,CRS00373,Not completed,46,21,0.8936888872681378,0.3627377774536275,0
STU00002,CRS00164,Completed,91,151,0.2190077999721783,0.8078015599944357,1
STU00002,CRS00204,Completed,77,177,0.5648235646066067,0.8209647129213214,1
STU00002,CRS00434,Not completed,37,252,0.2187603187960701,0.191752063759214,0
STU00002,CRS00072,Not completed,79,141,0.2444944131690016,0.3648988826338004,0
STU00002,CRS00095,Completed,97,136,0.9765832486990595,0.983316649739812,1
STU00002,CRS00277,Completed,50,157,0.6261122301367835,0.7252224460273569,1
STU00002,CRS00276,Completed,30,34,0.2183366403590912,0.5636673280718183,1
STU00003,CRS00143,Not completed,94,87,0.0316442872350606,0.3823288574470121,0
STU00003,CRS00454,Not completed,61,189,0.4759346059112715,0.3391869211822543,0
STU00003,CRS00438,Not completed,69,258,0.423873582900349,0.3607747165800697,0
STU00003,CRS00101,Not completed,70,248,0.5295780661916949,0.3859156132383389,0
STU00003,CRS00177,Completed,88,39,0.7822221539281297,0.908444430785626,1
STU00003,CRS00460,Not completed,85,287,0.3810553659177769,0.4162110731835554,0
STU00003,CRS00073,Not completed,85,185,0.3578802332325009,0.4115760466465002,0
STU00003,CRS00275,Completed,78,171,0.6491805725556788,0.8418361145111358,1
STU00003,CRS00420,Completed,92,237,0.3342660341097077,0.8348532068219415,1
STU00003,CRS00246,Completed,94,211,0.146745962273179,0.8053491924546359,1
STU00003,CRS00277,Completed,70,278,0.2371867464569487,0.7274373492913897,1
STU00003,CRS00260,Not completed,81,46,0.4874780020541208,0.4214956004108242,0
STU00003,CRS00192,Not completed,80,89,0.2650448299380988,0.3730089659876198,0
STU00003,CRS00401,Completed,100,88,0.407597796147543,0.8815195592295086,1
STU00003,CRS00207,Completed,70,192,0.175266893431521,0.7150533786863041,1
STU00003,CRS00318,Completed,88,37,0.3512801581402234,0.8222560316280447,1
STU00003,CRS00033,Completed,87,153,0.2778590064829493,0.8035718012965899,1
STU00003,CRS00160,Completed,85,95,0.1071196499588238,0.7614239299917648,1
STU00003,CRS00008,Not completed,84,148,0.1859575858681263,0.3731915171736253,0
STU00003,CRS00352,Not completed,73,37,0.8387424706502377,0.4597484941300475,0
STU00004,CRS00113,Not completed,75,56,0.0158652425602588,0.3031730485120518,0
STU00004,CRS00304,Not completed,70,124,0.7626859706320855,0.4325371941264171,0
STU00004,CRS00188,Not completed,61,118,0.7931758154318782,0.4026351630863756,0
STU00004,CRS00094,Not completed,96,24,0.5439259106052011,0.4927851821210402,0
STU00004,CRS00465,Completed,50,53,0.3623420181689488,0.6724684036337899,1
STU00004,CRS00022,Completed,76,192,0.2224631539476309,0.7484926307895262,1
STU00004,CRS00479,Not completed,70,58,0.3336924129505425,0.3467384825901085,0
STU00004,CRS00352,Completed,44,26,0.7053313853847197,0.717066277076944,1
STU00004,CRS00451,Completed,72,259,0.0039272802252515,0.6887854560450503,1
STU00004,CRS00327,Completed,84,39,0.5113796711868209,0.8382759342373642,1
STU00004,CRS00087,Completed,98,192,0.217965380664995,0.835593076132999,1
STU00004,CRS00286,Completed,88,48,0.2607622633975983,0.8041524526795196,1
STU00004,CRS00191,Completed,68,47,0.7212949414174981,0.8162589882834996,1
STU00004,CRS00198,Completed,63,226,0.2114817732859066,0.6942963546571813,1
STU00004,CRS00104,Not completed,95,122,0.3187011184993475,0.4437402236998695,0
STU00004,CRS00441,Completed,34,149,0.4995830139298985,0.6359166027859797,1
STU00004,CRS00080,Not completed,87,148,0.046991911091065,0.357398382218213,0
STU00004,CRS00005,Completed,89,281,0.54003855896656,0.864007711793312,1
STU00004,CRS00453,Completed,64,93,0.3663524294860126,0.7292704858972026,1
STU00004,CRS00205,Not completed,90,177,0.0881158388539159,0.3776231677707832,0
STU00005,CRS00033,Completed,78,213,0.063901710457504,0.7247803420915009,1
STU00005,CRS00004,Not completed,64,17,0.2259007919163091,0.3011801583832618,0
STU00005,CRS00158,Completed,63,113,0.3173536993644205,0.7154707398728841,1
STU00005,CRS00163,Completed,79,261,0.2504329016626755,0.7660865803325352,1
STU00005,CRS00085,Completed,100,15,0.9003632936853858,0.9800726587370772,1
STU00005,CRS00110,Completed,74,63,0.1903199927017281,0.7340639985403455,1
STU00005,CRS00116,Not completed,85,79,0.8472180385539863,0.5094436077107973,0
STU00005,CRS00079,Completed,80,297,0.3841136988834803,0.7968227397766962,1
STU00005,CRS00120,Not completed,83,211,0.4462842536408128,0.4212568507281626,0
STU00005,CRS00148,Completed,90,86,0.3925786242386765,0.8385157248477353,1
STU00005,CRS00103,Not completed,74,231,0.8520632129275041,0.4664126425855008,0
STU00005,CRS00002,Completed,80,286,0.5913460097402442,0.8382692019480489,1
STU00005,CRS00308,Not completed,40,98,0.2932537109905238,0.2186507421981048,0
STU00005,CRS00155,Not completed,94,123,0.9225142094177238,0.5605028418835447,0
STU00005,CRS00483,Completed,64,98,0.2182203981145458,0.6996440796229092,1
STU00005,CRS00217,Completed,77,236,0.3382547509846461,0.7756509501969293,1
STU00005,CRS00357,Completed,34,202,0.5016881585388558,0.6363376317077712,1
STU00005,CRS00334,Completed,80,186,0.6702934958907688,0.8540586991781538,1
STU00005,CRS00454,Not completed,67,16,0.4473908685650151,0.357478173713003,0
STU00005,CRS00142,Not completed,86,246,0.1931043860354816,0.3826208772070963,0
STU00006,CRS00053,Not completed,77,238,0.9845686145055728,0.5049137229011147,0
STU00006,CRS00165,Not completed,60,148,0.3902728309776139,0.3180545661955227,0
STU00006,CRS00038,Completed,85,149,0.4610840693226046,0.832216813864521,1
STU00006,CRS00024,Completed,81,70,0.5593505810803716,0.8358701162160744,1
STU00006,CRS00014,Not completed,87,246,0.3817364893686126,0.4243472978737225,0
STU00006,CRS00154,Not completed,98,211,0.410562287713901,0.4741124575427802,0
STU00006,CRS00071,Not completed,75,159,0.0501734469427058,0.3100346893885412,0
STU00006,CRS00137,Completed,66,19,0.3171491063238346,0.727429821264767,1
STU00006,CRS00145,Completed,86,281,0.0354131770671256,0.7510826354134251,1
STU00006,CRS00162,Completed,63,251,0.866663137262518,0.8253326274525037,1
STU00006,CRS00070,Completed,71,43,0.0534881524649227,0.6946976304929845,1
STU00006,CRS00115,Not completed,90,209,0.6575257845344561,0.4915051569068912,0
STU00006,CRS00369,Completed,78,137,0.2096396432196181,0.7539279286439237,1
STU00006,CRS00362,Not completed,36,202,0.5725324098959049,0.2585064819791809,0
STU00006,CRS00180,Completed,76,289,0.1112539747291966,0.7262507949458394,1
STU00006,CRS00025,Not completed,71,142,0.9167654367721596,0.4673530873544319,0
STU00006,CRS00494,Not completed,47,21,0.1424027515849746,0.2164805503169949,0
STU00006,CRS00403,Not completed,73,114,0.6883032364339613,0.4296606472867922,0
STU00006,CRS00164,Completed,99,128,0.9621573536019202,0.988431470720384,1
STU00006,CRS00321,Completed,52,235,0.7003263565500802,0.7480652713100162,1
STU00007,CRS00474,Not completed,64,52,0.7187244071704484,0.3997448814340897,0
STU00007,CRS00394,Completed,94,268,0.072707621806172,0.7905415243612345,1
STU00007,CRS00481,Completed,82,122,0.333492378758776,0.7946984757517552,1
